ip_id,ip_address,inst_id
1,142.31.155.192-223,2
3,142.31.200-204.*,2
441,206.87.192-223.*,32
8,140.161.*.*,7
9,204.239.152-155.*,3
10,209.87.30.*,3
538,142.26.210.2,5
459,207.6.29.228,87
16,142.232.0-83.*,1
18,199.60.119-120.*,8
20,199.60.226-227.*,8
408,206.123.160-191.*,26
27,204.174.56-63.*,2
440,206.87.112-159.*,32
439,206.87.0-63.*,32
437,142.31.134-135.*,2
436,142.25.208.23,17
37,142.27.64-70.*,4
479,142.26.212.33-142.26.212.62,5
458,64.251.85.194,84
44,142.27.217.65-126,4
45,142.27.250.0-254,4
46,142.28.158.0-254,4
47,142.29.210.129-254,4
478,142.26.214.33-142.26.214.62,5
457,142.232.112-255.*,1
480,142.26.210.197-142.26.210.249,5
363,142.27.143.194-222,16
395,142.232.85-110.*,1
61,206.172.40.208-223,6
62,64.180.120.20,9
63,64.180.123.47,9
64,207.23.232.2-255,9
405,142.30.240.34-46,10
66,142.30.203.*,10
67,142.30.190.129-192,10
331,142.25.206.129-253,17
339,142.25.183.129-190,14
366,198.125.125.125,44
420,142.33.88.237,15
100,142.31.16.1-255,13
101,142.25.33.*,14
102,142.25.40.*,14
103,142.25.85.*,14
104,142.25.96-103.*,14
105,142.25.108.*,14
106,142.25.114-115.*,14
108,142.25.140-141.*,14
391,142.28.198.2-30 [Masset],18
523,209.87.28-29.*,12
498,207.23.160-223.*,23
114,142.24.209.192-255,15
117,142.25.77-82.*,17
390,142.28.190.130-254 [Hazelton],18
389,142.28.195.66-126 [Kitimat],18
123,142.25.208.33-61,17
124,142.25.167.1-14,17
125,142.25.186.33-62,17
411,142.25.208.21,17
410,142.25.166.9-14,17
128,142.25.204.8-15,17
129,142.25.204.241-253,17
132,142.25.217.224-254,17
133,142.29.26.120-144,17
134,142.27.60.*,16
135,142.27.101.*,16
136,142.27.152.1-128,16
415,142.29.40-43.*,26
413,142.31.72-75.*,2
139,142.27.218.65-126,16
140,142.27.219.130-190,16
403,142.27.108.1-64,16
142,142.27.178.135-254,16
402,142.27.162.194-222,16
333,142.27.31.*,16
462,72.28.82.1-254,30
396,192.219.63.* [ Open Learning ],26
400,142.29.33.*,4
416,142.35.144-151.*,12
542,142.26.120.170,5
421,142.26.129.1-62,22
422,142.27.118.0-254,4
423,142.31.64-67.*,2
469,142.25.250.1-254,14
428,142.35.200-203.*,12
368,140.234.2.247,19
529,140.234.18.247,19
394,142.231.64-95.*,32
371,142.23.219.32-63,19
531,142.23.7*,19
373,142.23.95.27,19
374,142.23.84-88.*,19
375,142.23.136-140.*,19
376,142.23.88-95.*,19
377,142.23.76-79.*,19
378,142.23.1.0-127,19
425,142.35.156-159.*,12
380,142.23.47.*,19
445,142.31.142-143.*,2
388,142.28.210.66-126 [Houston],18
387,142.28.204.130-254 [Prince Rupert],18
186,199.60.144-151.*,22
386,142.28.185.128-254 [Smithers],18
385,142.28.225.1-254 [Terrace],18
384,142.28.12.1-254 [Terrace],18
194,142.58.0.0-142.58.101.26,23
195,192.75.240-247.*,23
196,199.60.1-18.*,23
197,64.141.84.1-255,25
450,142.30.157.1-14,10
199,142.24.40-48.*,26
429,142.30.225.224-239,12
477,142.26.194.129-190,22
535,142.24.54-55.*,19
449,207.6.61.192,87
207,142.24.192.0-63,26
208,142.29.194.*,26
209,142.29.195.0-127,26
210,142.29.207.128-191,26
211,142.30.204.54-127,26
212,192.146.156.*,26
213,198.162.20-23.*,26
214,204.244.79.97-126,26
215,207.23.8-15.*,26
470,206.87.80-95.*,29
218,137.82.*.*,32
219,142.90.*.*,32
220,142.103.*.*,32
222,198.162.32-63.*,32
223,207.23.94-95.*,32
224,142.207.*.*,28
461,208.181.64.192-208.181.64.199,92
460,142.104.*.*,29
472,142.58.101.28-142.58.255.255,23
236,199.247.245.1,31
237,142.33.66-67.*,11
392,142.28.198.226-254 [QCI],18
239,142.33.70-71.*,11
365,142.31.86.200-255,13
241,142.33.84-86.*,11
393,142.28.208.194-222 [Stewart],18
244,142.33.119.*,11
245,207.23.96-111.*,21
246,128.189.128-255.*,32
248,199.247.244.1,31
334,142.27.63.*,16
541,142.26.189.10,5
252,198.162.96-119.*,27
530,142.23.185.64â€“127,19
381,142.23.213.64-127,19
446,142.31.205.80-142.31.205.95,2
447,142.36.254.96-142.36.254.103,2
406,142.23.206.193-222,10
453,142.29.112-113.*,17
471,206.87.160-191.*,29
456,142.232.111.31-255,1
340,142.24.56-63.*,26
418,142.25.124.128-254,17
419,198.162.1.*,5
273,142.36.58.33-48,10
482,142.26.166.140-142.26.166.255,5
476,142.26.18.1-254,22
443,142.26.18.1-254,22
497,128.189.64-95.*,32
330,142.30.30.1-32,10
481,142.26.167.2-142.26.167.30,5
323,142.31.10.*,2
537,142.26.159.74,5
435,205.227.90.188,12
463,70.71.0.141-143,10
483,142.26.163.193-142.26.163.222,5
466,142.28.192.66-142.28.192.126,18
467,206.12.29.10,18
539,142.26.160.170,5
540,142.26.205.10,5
484,142.26.160.31-142.26.160.110,5
485,142.26.158.13-142.26.158.62,5
486,142.26.121.31-142.26.121.110,5
487,142.26.120.129-142.26.120.158,5
488,142.26.79.1-142.26.79.254,5
489,142.26.78.1-142.26.78.254,5
490,142.26.77.1-142.26.77.254,5
491,142.26.76.1-142.26.76.254,5
492,142.26.179.130,5
493,142.26.65.215,5
494,142.26.64.*,5
495,142.26.63.1-142.26.63.254,5
496,142.26.62.1-142.26.62.254,5
500,72.2.55.65,84
501,184.70.16.10,84
502,184.68.4.138,84
503,142.27.24.0-254,4
532,142.23.221.128-255,19
520,104.128.240.*,14
524,142.25.30.192 - 142.25.30.255,14
525,142.25.213.192 - 142.25.213.223,14
526,142.28.165.2-253,18
527,162.245.248-255.*,11
528,142.30.182.194,11
533,142.23.24-25.*,19
534,142.23.30-31.*,19
517,24.69.96.223,2
518,207.23.98.250,2
519,142.27.219.226-254,16
536,142.24.171.128-255,19
543,209.87.63.0-255,30
